LOCATION,PLUSPCUSTOMER,NAME,LATITUDEY,LONGITUDEX,ANCESTOR,BRANCH,TYPE,STATUS,POSTALCODE,ORGID
L1000193,H1000000,WM MORRISONS SUPERMARKETS PLC,53.43550312,-2.16057393,901000,900000,,OPERATING,SK5 7AA,INTHK
L1000194,H1000000,WM MORRISONS SUPERMARKETS PLC,51.595048,-3.0803053,901000,900000,,OPERATING,NP10 9HZ,INTHK
L1000195,H1000000,WM MORRISONS SUPERMARKETS PLC,51.91429902,-2.58160258,901000,900000,,OPERATING,HR9 7AG,INTHK
L1000197,H1000000,WM MORRISONS SUPERMARKETS PLC,52.39533732,-2.00868343,901000,900000,,OPERATING,B45 9AH,INTHK
L1000199,H1000000,WM MORRISONS SUPERMARKETS PLC,53.17694087,-2.93580303,901000,900000,,OPERATING,CH4 8RU,INTHK
L1000200,H1000000,WM MORRISONS SUPERMARKETS PLC,54.93523057,-1.3708578,901000,900000,,OPERATING,SR6 8AA,INTHK
L1000201,H1000000,WM MORRISONS SUPERMARKETS PLC,50.77048182,0.09787957,901000,900000,,OPERATING,BN25 1DL,INTHK
L1000203,H1000000,WM MORRISONS SUPERMARKETS PLC,51.403,0.7485371,901000,900000,,OPERATING,ME11 5JS,INTHK
L1000204,H1000000,WM MORRISONS SUPERMARKETS PLC,52.72779112,-2.73721548,901000,900000,,OPERATING,SY1 4DL,INTHK
L1000205,H1000000,WM MORRISONS SUPERMARKETS PLC,51.42374837,0.10119357,901000,900000,,OPERATING,DA14 6BF,INTHK
L1000206,H1000000,WM MORRISONS SUPERMARKETS PLC,51.34213197,0.73239292,901000,900000,,OPERATING,ME10 3EX,INTHK
L1000207,H1000000,WM MORRISONS SUPERMARKETS PLC,51.368707,0.7406905,901000,900000,,OPERATING,ME10 2FD,INTHK
L1000208,H1000000,WM MORRISONS SUPERMARKETS PLC,54.99886027,-1.43416518,901000,900000,,OPERATING,NE33 2AA,INTHK
L1000209,H1000000,WM MORRISONS SUPERMARKETS PLC,51.48631467,-0.09640953,901000,900000,,OPERATING,SE17 2DL,INTHK
L1000210,H1000000,WM MORRISONS SUPERMARKETS PLC,51.29032097,-0.78893153,901000,900000,,OPERATING,GU14 0NA,INTHK
L1000211,H1000000,WM MORRISONS SUPERMARKETS PLC,53.344121,-2.8408936,901000,900000,,OPERATING,L24 2WZ,INTHK
L1000213,H1000000,WM MORRISONS SUPERMARKETS PLC,53.44167542,-2.71404828,901000,900000,,OPERATING,WA9 3DY,INTHK
L1000214,H1000000,WM MORRISONS SUPERMARKETS PLC,52.315141,-0.0560904,901000,900000,,OPERATING,PE27 4NB,INTHK
L1000215,H1000000,WM MORRISONS SUPERMARKETS PLC,51.56465407,-0.07503483,901000,900000,,OPERATING,N16 5SR,INTHK
L1000218,H1000000,WM MORRISONS SUPERMARKETS PLC,55.773514,-4.20353498,901000,900000,,OPERATING,G74 4TT,INTHK
L1000220,H1000000,WM MORRISONS SUPERMARKETS PLC,54.56862872,-1.2981842,901000,900000,,OPERATING,TS18 2QX,INTHK
L1000221,H1000000,WM MORRISONS SUPERMARKETS PLC,54.90279337,-5.02245553,901000,900000,,OPERATING,DG9 8ES,INTHK
L1000223,H1000000,WM MORRISONS SUPERMARKETS PLC,51.39026702,0.48944182,901000,900000,,OPERATING,ME2 2BD,INTHK
L1000224,H1000000,WM MORRISONS SUPERMARKETS PLC,51.35945762,-0.19494003,901000,900000,,OPERATING,SM1 1DD,INTHK
L1000225,H1000000,WM MORRISONS SUPERMARKETS PLC,52.76995172,-1.55436438,901000,900000,,OPERATING,DE11 8HL,INTHK
L1000226,H1000000,WM MORRISONS SUPERMARKETS PLC,52.209155,-0.9492293,901000,900000,,OPERATING,NN4 9BD,INTHK
L1000228,H1000000,WM MORRISONS SUPERMARKETS PLC,52.214012,-0.9742472,901000,900000,,OPERATING,NN4 9EX,INTHK
L1000229,H1000000,WM MORRISONS SUPERMARKETS PLC,51.6421,-3.928485,901000,900000,,OPERATING,SA1 7DF,INTHK
L1000230,H1000000,WM MORRISONS SUPERMARKETS PLC,51.556794,-1.732947,901000,900000,,OPERATING,SN3 3TX,INTHK
L1000231,H1000000,WM MORRISONS SUPERMARKETS PLC,51.55635232,-1.78159523,901000,900000,,OPERATING,SN1 3DQ,INTHK
L1000232,H1000000,WM MORRISONS SUPERMARKETS PLC,51.01864457,-3.10301778,901000,900000,,OPERATING,TA1 1DX,INTHK
L1000233,H1000000,WM MORRISONS SUPERMARKETS PLC,50.54538677,-3.51663538,901000,900000,,OPERATING,TQ14 9AE,INTHK
L1000235,H1000000,WM MORRISONS SUPERMARKETS PLC,51.504798,0.0985552,901000,900000,,OPERATING,SE28 8RD,INTHK
L1000236,H1000000,WM MORRISONS SUPERMARKETS PLC,53.80167747,-1.71196248,901000,900000,,OPERATING,BD3 7HZ,INTHK
L1000237,H1000000,WM MORRISONS SUPERMARKETS PLC,50.92147902,-1.52378148,901000,900000,,OPERATING,SO40 8AD,INTHK
L1000239,H1000000,WM MORRISONS SUPERMARKETS PLC,50.87501702,-1.87709708,901000,900000,,OPERATING,BH31 6UQ,INTHK
L1000240,H1000000,WM MORRISONS SUPERMARKETS PLC,53.67975897,-1.49697038,901000,900000,,OPERATING,WF1 1YA,INTHK
L1000242,H1000000,WM MORRISONS SUPERMARKETS PLC,51.64683892,-0.42468348,901000,900000,,OPERATING,WD18 8AA,INTHK
L1000243,H1000000,WM MORRISONS SUPERMARKETS PLC,52.55006172,-2.02344998,901000,900000,,OPERATING,WS10 7BD,INTHK
L1000244,H1000000,WM MORRISONS SUPERMARKETS PLC,51.46228082,0.10796877,901000,900000,,OPERATING,DA16 1QL,INTHK
L1000245,H1000000,WM MORRISONS SUPERMARKETS PLC,50.73235172,-3.50464513,901000,900000,,OPERATING,EX4 7BY,INTHK
L1000246,H1000000,WM MORRISONS SUPERMARKETS PLC,54.99222062,-1.69847893,901000,900000,,OPERATING,NE5 2RA,INTHK
